mr,mrLabel,country,countryLabel,coord,highPoint,highPointLabel,elevation,length,partOf,partOfLabel
http://www.wikidata.org/entity/Q10370352,Q10370352,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370354,Serra da Joaninha,http://www.wikidata.org/entity/Q155,Бразилия,Point(-40.6042 -5.8367),,,,,,
http://www.wikidata.org/entity/Q10370357,Serra da Lousã,http://www.wikidata.org/entity/Q45,Португалия,Point(-8.197883 40.083441),,,,,,
http://www.wikidata.org/entity/Q10370361,Serra da Meruoca,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370364,Q10370364,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370370,Q10370370,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370372,Serra da Rocinha,http://www.wikidata.org/entity/Q155,Бразилия,Point(-49.286388888 -25.833333333),,,1009,,,
http://www.wikidata.org/entity/Q10370373,Q10370373,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370374,Q10370374,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370377,Serra das Abelhas,http://www.wikidata.org/entity/Q155,Бразилия,Point(-49.77521 -26.82125),,,694,,,
http://www.wikidata.org/entity/Q10370381,Serra das Cabras,http://www.wikidata.org/entity/Q155,Бразилия,Point(-46.85 -22.8683),,,,,,
http://www.wikidata.org/entity/Q10370381,Serra das Cabras,http://www.wikidata.org/entity/Q155,Бразилия,Point(-46.81666667 -22.9),,,,,,
http://www.wikidata.org/entity/Q10370387,Q10370387,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370400,Q10370400,http://www.wikidata.org/entity/Q155,Бразилия,Point(-36.25 -6.4),,,,,,
http://www.wikidata.org/entity/Q10370403,Serra de Grândola,http://www.wikidata.org/entity/Q45,Португалия,Point(-8.628 38.09937),,,,,,
http://www.wikidata.org/entity/Q10370405,Q10370405,http://www.wikidata.org/entity/Q155,Бразилия,Point(-37.36889 -7.98278),,,,,,
http://www.wikidata.org/entity/Q10370409,Q10370409,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370421,Q10370421,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370423,Q10370423,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370425,Q10370425,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370427,Q10370427,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370429,São Domingos mountain range,http://www.wikidata.org/entity/Q155,Бразилия,Point(-46.569006 -21.77289),,,,,,
http://www.wikidata.org/entity/Q10370429,São Domingos mountain range,http://www.wikidata.org/entity/Q155,Бразилия,Point(-46.568944444 -21.772333333),,,,,,
http://www.wikidata.org/entity/Q10370433,Q10370433,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370434,Serra de São Macário,http://www.wikidata.org/entity/Q45,Португалия,Point(-8.083333333 40.866666666),,,,,,
http://www.wikidata.org/entity/Q10370434,Serra de São Macário,http://www.wikidata.org/entity/Q45,Португалия,Point(-8.06666667 40.86666667),,,,,,
http://www.wikidata.org/entity/Q10370439,Três Pontas Mountains,http://www.wikidata.org/entity/Q155,Бразилия,Point(-45.38916667 -21.39361111),,,,,,
http://www.wikidata.org/entity/Q10370440,Q10370440,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370448,Q10370448,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370452,Serra do Açor,http://www.wikidata.org/entity/Q45,Португалия,Point(-7.79932 40.19744),,,,,,
http://www.wikidata.org/entity/Q10370452,Serra do Açor,http://www.wikidata.org/entity/Q45,Португалия,Point(-7.918826 40.214472),,,,,,
http://www.wikidata.org/entity/Q10370453,Q10370453,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370455,Q10370455,http://www.wikidata.org/entity/Q155,Бразилия,Point(-45.00333 -22.46806),,,,,,
http://www.wikidata.org/entity/Q10370456,Q10370456,http://www.wikidata.org/entity/Q155,Бразилия,Point(-38.51361 -7.31361),,,,,,
http://www.wikidata.org/entity/Q10370462,Q10370462,http://www.wikidata.org/entity/Q155,Бразилия,Point(-36.23306 -7.65),,,,,,
http://www.wikidata.org/entity/Q10370463,Caparaó Mountains,http://www.wikidata.org/entity/Q155,Бразилия,Point(-41.8433836 -20.4195597),,,2421,,,
http://www.wikidata.org/entity/Q10370464,Q10370464,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370469,Corvo Branco Mountains,http://www.wikidata.org/entity/Q155,Бразилия,Point(-49.367496471 -28.055516805),,,,,,
http://www.wikidata.org/entity/Q10370474,Q10370474,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370475,Serra do Engenho Novo,http://www.wikidata.org/entity/Q155,Бразилия,Point(-43.2541 -22.90876),,,143,,,
http://www.wikidata.org/entity/Q10370480,Lenheiro Mountain Range,http://www.wikidata.org/entity/Q155,Бразилия,Point(-44.300208333 -21.143838888),,,,,,
http://www.wikidata.org/entity/Q10370482,Serra do Leão,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370483,Serra do Lopo,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370485,Q10370485,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370487,Serra do Mendanha,http://www.wikidata.org/entity/Q155,Бразилия,Point(-43.52275 -22.82343),,,711,,,
http://www.wikidata.org/entity/Q10370487,Serra do Mendanha,http://www.wikidata.org/entity/Q155,Бразилия,Point(-43.520788888 -22.812958333),,,711,,,
http://www.wikidata.org/entity/Q10370491,Q10370491,http://www.wikidata.org/entity/Q155,Бразилия,Point(-37.16527778 -6.7075),,,,,,
http://www.wikidata.org/entity/Q10370492,Serra do Ororubá,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370494,Serra do Pancas,http://www.wikidata.org/entity/Q155,Бразилия,Point(-40.905 -19.0858),,,,,,
http://www.wikidata.org/entity/Q10370496,Q10370496,http://www.wikidata.org/entity/Q155,Бразилия,Point(-37.52417 -6.88194),,,,,,
http://www.wikidata.org/entity/Q10370501,Serra de Sicó,http://www.wikidata.org/entity/Q45,Португалия,Point(-8.53997 39.92297),,,,,,
http://www.wikidata.org/entity/Q10370504,Serra do Teixeira,http://www.wikidata.org/entity/Q155,Бразилия,Point(-37.38417 -7.2528),,,,,,
http://www.wikidata.org/entity/Q10370506,Q10370506,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370511,Q10370511,http://www.wikidata.org/entity/Q155,Бразилия,,,,,,,
http://www.wikidata.org/entity/Q10370516,Serra dos Pacaás Novos,http://www.wikidata.org/entity/Q155,Бразилия,Point(-64.25 -10.75),,,223,,,
http://www.wikidata.org/entity/Q10370553,Q10370553,http://www.wikidata.org/entity/Q155,Бразилия,Point(-37.30111 -7.06472),,,,,,
http://www.wikidata.org/entity/Q10386849,Mount Haituo,http://www.wikidata.org/entity/Q148,Китай,Point(115.723055 40.582573),http://www.wikidata.org/entity/Q29614026,Greater Haituo,2241,,,
http://www.wikidata.org/entity/Q10430567,Shirama Mountains,http://www.wikidata.org/entity/Q17,Япония,,,,,,,
http://www.wikidata.org/entity/Q1043900,Carnarvon Range,http://www.wikidata.org/entity/Q408,Австралия,Point(148.61 -25.4),,,694,160,,
http://www.wikidata.org/entity/Q104477594,Q104477594,http://www.wikidata.org/entity/Q38,Италия,Point(10.796111111 44.460555555),,,,,,
